"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
13238,"B-2847, FH6113","DSM 44544, ATCC 21177, CIP 108212, IFO 14664, NBRC 14664, NRRL B-24205, JCM 4936, CBS 242.71, CGMCC 4.5590, IFO 12554, IMSNU 20061, NBRC 12554",1,"Amycolatopsis tolypomycina",Bacteria,"facultative anaerobe",GCA_900105945,208445.6,2634166899
6411,B-4437,"CCUG 30137, NCIMB 11546, JCM 1125, DSM 20533, ATCC 49845, LMG 6900, NRRL B-4437, VKM B-2234, BCRC 14055, CCM 7001, CECT 4133, CGMCC 1.3394, CIP 102988, IFO 15881, KCTC 3161, NBRC 15881, NCAIM B.01457, NCFB 2503, NRRL B-4476, VTT E-95574, NCDO 2503",1,"Amylolactobacillus amylophilus",Bacteria,"facultative anaerobe",GCA_001311665,1423721.3,2728369694
,,,,,,,GCA_001436185,1423721.4,2695420657
,,,,,,,GCA_001936335,1423721.7,2721755795
6666,,"DSM 20534, LMG 11400, NRRL B-4436, JCM 1124, BCRC 17923, CIP 109878, KCTC 3160",1,"Amylolactobacillus amylotrophicus",Bacteria,"facultative anaerobe",GCA_001434555,1423722.3,2695420818
1559,"MS 6","DSM 22531, NCCB 100213, UNIQEM U377",1,"Anaerobacillus alkalidiazotrophicus",Bacteria,"facultative anaerobe",GCA_001866055,472963.14,2839700685
158471,B16-10,"DSM 29790, NCAIM B.02608",1,"Anaerobacillus alkaliphilus",Bacteria,"facultative anaerobe",GCA_004116265,2268408.3,2964375228
164306,M1P,"JCM 32614, KCTC 15718",1,"Ancylomarina euxinus",Bacteria,"facultative anaerobe",GCA_003863355,2283627.3,2889681909
133003,FA102,"DSM 28825, CICC 10902, KCTC 42257",1,"Ancylomarina subtilis",Bacteria,"facultative anaerobe",GCA_004217115,1639035.3,2795386138
560,MR3C,"DSM 15939, ATCC BAA-872, CIP 108338, CIP 108305",1,"Anoxybacteroides amylolyticum",Bacteria,"facultative anaerobe",GCA_001634285,294699.3,2690315950
,,,,,,,GCA_004346755,294699.7,2802428824
166539,Z0201,"KCTC 62450, MCCC 1H00328",1,"Cognataquiflexum aquatile",Bacteria,"facultative anaerobe",GCA_003316845,2249427.3,2832066355
10512,5YN1-3,"DSM 21330, KACC 12729",1,"Aquitalea denitrificans",Bacteria,"facultative anaerobe",GCA_009856625,519081.3,3001565500
10511,TRO-001DR8,"DSM 25134, ATCC BAA-1216, CCM 7607, LMG 23054, NBRC 103050",1,"Aquitalea magnusonii",Bacteria,"facultative anaerobe",GCA_001515285,332411.13,2703718752
,,,,,,,GCA_003202035,332411.11,2770939555
140914,P1297,"CCM 7557, LMG 28989, CCUG 67440",1,"Aquitalea pelogenes",Bacteria,"facultative anaerobe",GCA_001515305,1293573.8,2703718753
12653,699,"DSM 43307, ATCC 14157, CIP 110010, CCUG 4939, LMG 16729, ATCC 13682, JCM 5830, CIP 101941, IFO 14587, IMET 10974, LMG 19873, NBRC 14587, NCTC 12967, PCM 2431, VKM Ac-1449, VPI 0026, NBRC 4587",1,"Arachnia propionica",Bacteria,"facultative anaerobe",GCA_001592325,1218109.3,2731957689
,,,,,,,GCA_900637725,1750.7,8064412145
197,11018,"DSM 20595, ATCC 9345, CCM 5947, NCTC 8452",1,"Arcanobacterium haemolyticum",Bacteria,"facultative anaerobe",GCA_000092365,644284.3,646564505
,,,,,,,GCA_900475915,28264.12,2808606785
203,"M401624/00/2, 001127, M 601624/00/2","DSM 15539, CCUG 44697, CIP 106850",1,"Arcanobacterium hippocoleae",Bacteria,"facultative anaerobe",GCA_031456295,149017.3,2919380674
