,sample_idx,true_class,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24
2197,36,0,-0.468356239906581,-0.0455679978077888,-0.18793846044277263,0.0441791151023641,0.11401085510116253,0.6630003316572478,-0.0686994141523904,0.11204063996698281,0.0055410430848535815,-0.16481290054824596,0.7320568449988244,0.4734350184850424,-0.12530090728796925,-0.29692140756048596,-0.009549391888908734,0.36706311700125904,-0.1584636686868012,0.41068012930644565,-0.0884251852696915,-0.6455899238682462
3403,37,0,-0.38190846728714734,-0.040603895337582525,-0.11415411206108778,-0.13861824151756072,-0.19341734917229725,-0.0721415812904171,-0.058716188196670294,-0.18555802699233517,-0.052635741147083415,-0.06777051874903971,-0.18951917690379394,-0.3108065512870652,-0.04849387130682137,-0.15924290974039046,-0.06863286774488003,-0.10757167758492871,-0.11380133354430026,-0.25194029213360775,-0.0749813313954383,-0.3653500281753492
348,38,1,0.23888312166157336,0.24789180469700275,-0.020219255776334516,0.031138415147306964,0.10750275253478438,-0.18822814415135936,-0.03792077490317498,-0.8602231929978438,0.13162067089502696,0.6258440716210161,0.6182083637151711,0.35707768450876004,0.12216916139011073,0.4094695325661381,-0.045642912901164186,0.23602353317948044,0.3283262902094513,0.28696140804824355,-0.16673720900403724,0.8215271729582662
2444,39,1,0.21430500385422088,0.1846722973697996,0.13415550261980366,0.11616103764483433,0.03724429655985891,-0.1349938327398943,-0.1128112485340834,0.4582951233274486,0.05603458894026614,0.5626488804724304,-0.19467162980935296,0.3549527627877724,0.12066035862646914,0.5364223806801732,-0.08841059789596688,0.25082513358428576,0.49251686487899576,0.3467919866798092,-0.17145681773901408,0.7879150692086972
3833,40,0,0.3455885605378762,-0.03501911174540738,0.18968640232189146,-0.003792010258650428,0.10398292966289101,-0.06768067581678912,-0.16577094999994668,0.2625984916384415,-0.0769626722640796,-0.07487028483403332,-0.10756695908379794,-0.34251073145931676,-0.09058428057757632,-0.2443672444263526,-0.0740468213865346,-0.15435513912237286,-0.2346664909789424,-0.26085490024145364,-0.11492953001691229,-0.40953751709533615
3544,41,0,-0.5171965537887812,-0.05542367620326366,0.2349088497663128,-0.09666553991974684,-0.1345433755884448,-0.06377441809924796,-0.08626636759819976,0.25301707381880706,0.04865934906731705,-0.10308828629075552,-0.1686143859637309,-0.2878058876083682,-0.10850614313739194,-0.2865216975463694,-0.21619244070943155,-0.15810162168910236,-0.20566731153881398,0.499003557992361,-0.09059740176848803,-0.6199472821162136
1631,42,1,0.13040820465337372,0.27896272236973185,0.2790406940709524,0.08299509784239278,0.03248491196889621,0.40351887790033425,0.35055291002467254,0.3260748332024684,0.10910695597933096,-0.0499828902272359,0.31636365021716156,0.20764214189642796,0.13043552183732335,0.5656050550074478,0.34775530810593797,-0.3814802954262259,0.4605555833800565,0.37769498492445125,-0.20391625556948986,0.870590643832426
4381,43,0,0.30959152854890093,-0.1288262583354894,0.10604860365391074,0.0012109723047186484,-0.058111490404657275,-0.11008137910441734,-0.07435487978802001,-0.7171444600975408,-0.25487345708812886,-0.047574412392459416,-0.1994255318979685,-0.5107057999212428,0.10613180004910434,-0.17262143065042698,-0.0687966412950036,-0.1316576217718062,-0.1400872626026424,-0.40576104434601845,-0.16292986490537878,0.8058730118368507
1228,44,0,-0.5763967527103321,-0.041127785831447106,-0.2912481612073747,-0.14728433340605354,-0.2384760744648012,-0.07090429878071756,-0.07282358521558482,0.0107490410195066,-0.05898537342807622,-0.06990166843964109,-0.17250789038554484,-0.2945484247957368,-0.056843725491086954,-0.20281763075493767,-0.07919982604901118,-0.1317079839482508,-0.1616707681228845,-0.2995982955456887,-0.07998316398201764,-0.47195758698798124
5245,45,0,0.22523852321301766,-0.05733396409219923,-0.22468546275042522,0.023218238806201445,0.07745897396533696,-0.06876630016059682,-0.06298285560777114,-0.3966056843557215,0.04882174995151461,-0.09350044380383811,-0.21758719659391304,-0.3853548546562416,-0.09481872275420246,-0.21094410309904618,-0.07533846916285485,-0.17298740202225313,-0.1821375422395526,0.1501020463809021,-0.11509762933275636,-0.5412404313789018
